id,full_name,profession,license_number,authority,status,province,trust_score,identity_verified,risk_level
5c160d84-8227-4690-ae22-dd4f1436e2d2,"John Smit",Attorney,LP888929,LPC,Practising,Northern Cape,100,true,Low
8afb27ca-0114-481e-8853-01523e2f3b16,"Tumi Molefe",Doctor,MP954445,HPCSA,Active,Mpumalanga,92,true,Low
ec30de8f-33df-4efb-8cfb-12b59ecc08cb,"Sarah Smit",Doctor,MP973824,HPCSA,Practising,Limpopo,94,true,Low
6e99da71-0d35-4d8f-a69d-a6fb5e4561c8,"Jane Grootboom",Specialist,MP424447,HPCSA,Good Standing,Gauteng,92,true,Low
b076a2b2-8741-4deb-8506-5d1e2657b584,"Lindiwe Khuma",Doctor,MP134227,HPCSA,Good Standing,Gauteng,95,true,Low
469448c8-f87e-41a5-8260-a46b31399f1c,"Lindiwe Smit",Psychologist,MP188150,HPCSA,Practising,Limpopo,95,true,Low
51ff0042-3dfc-4cf0-a7ac-e24e997ffb47,"Tumi Smit",Nurse,REG52448,SANC,Suspended,Free State,54,true,Medium
892a92fe-c7b2-4f93-9319-9831cbcb7e9c,"Sarah Smit",Attorney,LP125875,LPC,Suspended,Mpumalanga,54,true,Medium
fa1361a1-534e-4e00-97f0-39c7a5de34cf,"Lerato Molefe",Doctor,MP518455,HPCSA,Suspended,Mpumalanga,56,true,Medium
c7e6cb61-b40c-4ab1-884b-2dc0d34f2759,"Sarah Dlamini",Advocate,LP485143,LPC,Good Standing,Eastern Cape,92,true,Low
1d1e6546-e05d-4d9d-a63c-84b01921e397,"Jane Khuma",Doctor,MP581923,HPCSA,Good Standing,Eastern Cape,95,true,Low
e5d96cce-3820-4d7b-98db-a6e213e28671,"Lindiwe Botha",Psychologist,MP704837,HPCSA,Suspended,KwaZulu-Natal,45,true,Medium
888c7096-c046-49f7-ad02-3283cce0b81b,"Musa Botha",Psychologist,MP247712,HPCSA,Suspended,Northern Cape,41,true,Medium
16dff07f-06ed-42c1-b26f-c3a0f3d88e9e,"Sarah Grootboom",Advocate,LP883877,LPC,Practising,Western Cape,94,true,Low
4fe7ba00-4ab4-4200-9e2e-ca79601737bb,"Sarah Ndlovu",Doctor,MP847512,HPCSA,Good Standing,Western Cape,99,true,Low
18367c49-0733-40bb-9351-160bde9c3ebd,"Kevin Grootboom",Nurse,REG72860,SANC,Practising,Limpopo,93,true,Low
dc9828a2-5307-4da0-9aa9-c57b5293ddb0,"Lindiwe Botha",Advocate,LP977684,LPC,Active,Northern Cape,96,true,Low
698319dc-0428-4e75-8c51-53a91a3dd1a2,"Sarah Zuma",Nurse,REG10535,SANC,Good Standing,Eastern Cape,94,true,Low
980485cf-72bb-460c-94d1-9ca70870032c,"Sarah Smit",Attorney,LP636915,LPC,Active,North West,90,true,Low
bf71b7e0-7fe1-4afd-b5e2-578a8db81c23,"Nomsa Botha",Doctor,MP243904,HPCSA,Good Standing,Mpumalanga,94,true,Low
bee81316-c755-43b4-922e-3eadca032df4,"Thabo Muller",Nurse,REG12003,SANC,Good Standing,North West,92,true,Low
7167633e-6c8b-4c21-a533-f138ed43bec8,"Chris Khuma",Specialist,MP254299,HPCSA,Good Standing,Northern Cape,98,true,Low
94f5e033-d6eb-44b0-99e2-b1246bc526af,"Sarah Zuma",Doctor,MP546781,HPCSA,Struck Off,Gauteng,24,false,Critical
2d12b852-79d9-4a50-a2e3-c1fb62da4af0,"Tumi Botha",Doctor,MP412765,HPCSA,Active,Western Cape,92,true,Low
3b82e9ae-0b4a-4ea4-85e6-6c303df3b915,"Lindiwe Smit",Nurse,REG88220,SANC,Practising,Northern Cape,98,true,Low
8042bc7d-b9bd-47c9-90ee-e80e03f4d350,"Lerato Zuma",Doctor,MP999418,HPCSA,Active,KwaZulu-Natal,100,true,Low
be81d1d5-6b18-45c8-8be9-d9c3f59cb77e,"Lerato Molefe",Specialist,MP130718,HPCSA,Struck Off,Northern Cape,24,false,Critical
86c0ea9d-8c39-46f8-b713-c874dd36d90f,"Jane Muller",Doctor,MP606887,HPCSA,Struck Off,Free State,0,false,Critical
d72e0cb0-5ccd-497e-b315-6cccab73e263,"Chris Molefe",Attorney,LP919133,LPC,Active,Eastern Cape,95,true,Low
71302aa9-2e65-45c1-8c94-c4a9832611b1,"Kevin Khuma",Specialist,MP938090,HPCSA,Practising,Free State,98,true,Low
41972498-1857-4479-ad9a-b6073c0150fb,"Nomsa Khuma",Doctor,MP402388,HPCSA,Practising,KwaZulu-Natal,94,true,Low
dd9c2b32-8c70-4a81-9a94-b8a0f5c59485,"Tumi Grootboom",Nurse,REG73255,SANC,Good Standing,Free State,99,true,Low
778cba13-2c9d-45c3-9c52-69799581376e,"Kevin Ndlovu",Attorney,LP533824,LPC,Good Standing,Northern Cape,91,true,Low
d593c9b2-f11b-4f4f-9762-997bcdecc94f,"Lindiwe Zuma",Nurse,REG99620,SANC,Active,Eastern Cape,99,true,Low
b28b97c2-551d-47a2-a4c4-939869d94e08,"Chris Smith",Psychologist,MP130875,HPCSA,Struck Off,Free State,2,false,Critical
dd4bf2fc-b7bc-4fec-976e-994d65dfdd65,"Thabo Dlamini",Attorney,LP828290,LPC,Active,Northern Cape,95,true,Low
476e7306-0239-4a61-b7ae-6c8851fc321f,"Tumi Smith",Nurse,REG44680,SANC,Good Standing,Limpopo,100,true,Low
ba90d0ef-ef38-48ee-833b-9a8fd8932001,"Kevin Ndlovu",Nurse,REG81665,SANC,Practising,Limpopo,98,true,Low
0eb4b3a0-ef9f-478a-b45d-ed5386fafb14,"Musa Zuma",Specialist,MP623773,HPCSA,Practising,Eastern Cape,91,true,Low
71ab9c5f-cf79-490b-9e63-f003e878c18c,"Lerato Zuma",Doctor,MP170261,HPCSA,Struck Off,Northern Cape,25,false,Critical
96195eac-c598-420c-baf8-85c7deb3aaba,"Sipho Ndlovu",Advocate,LP564680,LPC,Practising,KwaZulu-Natal,97,true,Low
18e71103-5207-4059-ae47-132b91985eb9,"Jane Grootboom",Psychologist,MP322630,HPCSA,Good Standing,Mpumalanga,100,true,Low
5fc417d6-edfd-4640-9b1d-1bbf29adece1,"Chris Dlamini",Doctor,MP704623,HPCSA,Struck Off,Western Cape,7,false,Critical
a8efe3c8-2653-4972-a981-a2f538a79b30,"Nomsa Ndlovu",Doctor,MP243125,HPCSA,Practising,KwaZulu-Natal,99,true,Low
513d6198-333a-4908-9620-ddbfc20c9b48,"John Muller",Advocate,LP278442,LPC,Good Standing,North West,91,true,Low
198df7bb-54a2-4214-9058-7e2327f3fbc8,"Tumi Botha",Nurse,REG45046,SANC,Good Standing,North West,100,true,Low
89f06ff8-ad78-4788-8ddc-22980f10b9fa,"Tumi Smit",Doctor,MP134329,HPCSA,Good Standing,North West,94,true,Low
78a9c431-dd1d-4741-9885-89ce1a917232,"Musa Zuma",Specialist,MP228180,HPCSA,Suspended,Gauteng,45,true,Medium
6694a0a5-f81d-4a5d-8d4c-4bbceab88ed0,"Sarah Smit",Attorney,LP674886,LPC,Good Standing,KwaZulu-Natal,90,true,Low
9d0985a2-ce50-4027-9b30-4305b631527c,"John Molefe",Specialist,MP717744,HPCSA,Active,Gauteng,90,true,Low
f35371ca-7618-4034-a45e-6d82322ea6a0,"Sipho Zuma",Specialist,MP970268,HPCSA,Good Standing,KwaZulu-Natal,98,true,Low
a94ace20-33c0-42cf-b488-d96dcde5a092,"Tumi Smith",Attorney,LP204771,LPC,Suspended,Gauteng,47,true,Medium
9ad403c6-0c7c-4b62-a009-8124ebe1187e,"Nomsa Molefe",Specialist,MP487346,HPCSA,Struck Off,Limpopo,5,false,Critical
f7719cfd-f66f-426e-b690-328067e563e4,"Tumi Dlamini",Psychologist,MP592849,HPCSA,Struck Off,Western Cape,15,false,Critical
1d0b04b2-f468-4f15-9b9e-52167439d6e9,"Sipho Khuma",Doctor,MP774247,HPCSA,Suspended,KwaZulu-Natal,47,true,Medium
c187596a-7ca4-4c2b-8847-ab2eeb6b757a,"Chris Botha",Specialist,MP320048,HPCSA,Practising,Northern Cape,92,true,Low
0d85f2a5-7d49-45eb-a076-9139a2b479c3,"Thabo Grootboom",Psychologist,MP544377,HPCSA,Practising,Gauteng,100,true,Low
6ff8bcad-d8e0-4038-b445-963a1648b52e,"Nomsa Smith",Advocate,LP978109,LPC,Struck Off,Limpopo,21,false,Critical
6b112b3c-58d7-45b0-ba44-109f9e3a73b5,"Musa Dlamini",Psychologist,MP936484,HPCSA,Practising,Mpumalanga,91,true,Low
fdbc48f5-9a3a-4956-8ef7-3166262b4d35,"Sarah Muller",Specialist,MP963886,HPCSA,Struck Off,Eastern Cape,6,false,Critical
99632d78-0330-4dc8-84c3-1fe8607960a5,"Lindiwe Smit",Psychologist,MP130150,HPCSA,Struck Off,Mpumalanga,19,false,Critical
955dca86-2fa1-4175-9ff6-8e181e396401,"Lerato Zuma",Advocate,LP220685,LPC,Active,Eastern Cape,93,true,Low
2a9ed1f7-b7a7-4b0f-8bbf-7e0c6816e28a,"Sipho Smith",Advocate,LP812037,LPC,Practising,Western Cape,97,true,Low
d989de82-25e2-4c10-b437-a623f7271c18,"Kevin Khuma",Doctor,MP204491,HPCSA,Active,Gauteng,97,true,Low
5fe178f1-dad5-4c43-9a33-635f3e21526e,"Chris Ndlovu",Advocate,LP444273,LPC,Suspended,Free State,58,true,Medium
cfd45eec-157f-4216-a8d3-e5f4ace8a3c2,"Sipho Smith",Doctor,MP278243,HPCSA,Suspended,KwaZulu-Natal,41,true,Medium
a28ac4fc-f51a-42eb-862a-3f14e3af5780,"Sipho Ndlovu",Psychologist,MP959596,HPCSA,Practising,KwaZulu-Natal,94,true,Low
359a5981-d2aa-4afc-a366-61e15af074c3,"Sarah Khuma",Advocate,LP474635,LPC,Active,Western Cape,97,true,Low
73613f6f-95a0-409d-a8f8-653ee6b52594,"Jane Muller",Specialist,MP442656,HPCSA,Active,Limpopo,98,true,Low
035ea58e-340b-483f-83ff-cd6d628d7b57,"Sarah Zuma",Doctor,MP809688,HPCSA,Practising,North West,91,true,Low
eb4b9ae5-af5c-4d17-a690-fcf5f9e6ed21,"Tumi Muller",Psychologist,MP541435,HPCSA,Active,KwaZulu-Natal,100,true,Low
2a48b644-221c-416c-959a-2ed7e736b0db,"Thabo Dlamini",Specialist,MP831733,HPCSA,Good Standing,Eastern Cape,96,true,Low
595461f2-7229-40d7-8c62-4bb214f1be6e,"Jane Smit",Attorney,LP565779,LPC,Struck Off,Limpopo,30,false,Critical
6f7b83cc-6501-4e15-be50-053b8bac4c94,"Lerato Zuma",Psychologist,MP403278,HPCSA,Practising,Free State,91,true,Low
5874dc4d-9492-45ce-9270-ffe9a918f627,"Nomsa Ndlovu",Specialist,MP908388,HPCSA,Struck Off,Mpumalanga,22,false,Critical
aacfb543-45b1-42d5-8b26-3c71a24f850e,"Sarah Botha",Advocate,LP445447,LPC,Active,North West,99,true,Low
5820e397-613f-4448-ae59-06aada75311b,"Lerato Molefe",Attorney,LP103209,LPC,Good Standing,Free State,99,true,Low
2857b41b-fc64-493b-b1fe-f0e38edd997a,"Tumi Khuma",Nurse,REG61991,SANC,Suspended,Northern Cape,40,true,Medium
6ae4d8ff-1104-4883-95f3-7aa07878b111,"Kevin Muller",Nurse,REG21849,SANC,Active,Eastern Cape,94,true,Low
48e1e61a-7f6b-44a9-a84f-4aac069f298f,"Thabo Ndlovu",Nurse,REG88499,SANC,Active,Western Cape,94,true,Low
a2144963-d948-4d00-b6aa-cf795d0166de,"Tumi Smith",Psychologist,MP685686,HPCSA,Struck Off,Free State,22,false,Critical
a5a8ab67-0679-426d-8aaa-a34a85d41960,"Kevin Khuma",Doctor,MP617105,HPCSA,Suspended,KwaZulu-Natal,42,true,Medium
3a2757ac-20cb-4385-bbc9-c58d815b92da,"Lindiwe Khuma",Doctor,MP970302,HPCSA,Active,Limpopo,100,true,Low
34ab7207-d545-4d11-a13c-25ea84e37c65,"Jane Ndlovu",Doctor,MP431469,HPCSA,Good Standing,Gauteng,94,true,Low
8bd5caba-673c-4f88-a436-3e087569ff24,"Lerato Ndlovu",Nurse,REG16323,SANC,Suspended,Western Cape,42,true,Medium
6f950a5a-c4ea-47f5-b55c-47ee7b10250a,"Sarah Muller",Doctor,MP298831,HPCSA,Good Standing,North West,100,true,Low
b2f44f0d-8608-4135-9963-9461e7262bac,"Thabo Smith",Advocate,LP995626,LPC,Active,Free State,92,true,Low
4cadfeda-7fa2-45b7-be07-d79b79df401f,"Tumi Grootboom",Attorney,LP746756,LPC,Suspended,KwaZulu-Natal,50,true,Medium
a73ac456-cc74-4633-9b29-e5833e998790,"Jane Grootboom",Psychologist,MP388533,HPCSA,Good Standing,Eastern Cape,90,true,Low
591af9fa-0fd4-451a-8588-13995b2f6966,"Musa Grootboom",Specialist,MP929333,HPCSA,Suspended,Mpumalanga,52,true,Medium
25b59d27-2cdd-488c-9943-b3962bc40fdb,"Sarah Smith",Nurse,REG51165,SANC,Good Standing,Free State,96,true,Low
ac79aeb1-3170-401c-bbae-cb0ed0bfa4b9,"Musa Zuma",Advocate,LP576584,LPC,Struck Off,Free State,26,false,Critical
cf5695b2-d429-4704-9d43-fda5ca0b5577,"Jane Muller",Advocate,LP293081,LPC,Good Standing,Mpumalanga,94,true,Low
0272e6fa-39a8-4fa1-913e-6384b4291f3b,"Musa Smit",Advocate,LP961027,LPC,Active,Northern Cape,100,true,Low
ee19b7a5-bdfb-472d-bc3d-a500c8cb2fd3,"Sipho Ndlovu",Advocate,LP381619,LPC,Good Standing,Limpopo,98,true,Low
30d8f354-6ced-46ea-8cd0-094483c35ed6,"Kevin Molefe",Nurse,REG48019,SANC,Suspended,Free State,52,true,Medium
a9285f98-f4de-4f70-bf30-23b9c4fba47c,"Tumi Muller",Specialist,MP366618,HPCSA,Active,Mpumalanga,100,true,Low
a9b61170-fea7-4371-bd57-0037d77987cf,"Lerato Khuma",Attorney,LP993381,LPC,Active,Northern Cape,97,true,Low
b649dbc1-5ca6-4850-ad4f-3c88cc4a2ae2,"Sipho Dlamini",Psychologist,MP922511,HPCSA,Active,North West,94,true,Low
cb90fcaf-fb57-4d64-beed-2010a2273cde,"Thabo Khuma",Advocate,LP392728,LPC,Suspended,Limpopo,56,true,Medium
e6fd4259-5a2d-475c-9690-0e74bfdcd24c,"Sarah Smith",Doctor,MP285322,HPCSA,Struck Off,Mpumalanga,24,false,Critical
f1eba6ec-c493-4687-b0b5-e8dfda64126d,"Chris Dlamini",Specialist,MP832562,HPCSA,Struck Off,Gauteng,6,false,Critical
3fe02883-5a5d-423b-92fa-11457bf44023,"Nomsa Ndlovu",Specialist,MP892425,HPCSA,Good Standing,Gauteng,90,true,Low
f66f65be-ce78-43b2-b2d1-dfcf8ca514aa,"Chris Ndlovu",Doctor,MP490115,HPCSA,Active,KwaZulu-Natal,94,true,Low
46cd9c4c-1794-4050-b0fb-6762645fdb0f,"Chris Dlamini",Doctor,MP942141,HPCSA,Active,Gauteng,90,true,Low
1a8293e6-1245-42ee-bb68-a808944210d0,"Thabo Dlamini",Nurse,REG61071,SANC,Active,Limpopo,93,true,Low
48b1d091-4108-42f5-b35e-f537e87c7490,"Jane Botha",Attorney,LP525286,LPC,Struck Off,Northern Cape,17,false,Critical
ed5d5cc6-149f-419e-996a-3441c08cac31,"Kevin Molefe",Attorney,LP246872,LPC,Struck Off,Western Cape,14,false,Critical
acd59da5-a3d7-4eea-ab5e-6f47e4b0ddd1,"Sarah Muller",Nurse,REG17958,SANC,Active,Northern Cape,99,true,Low
6ac77ae7-cd84-40f9-8ad5-61dc5744984e,"Musa Khuma",Specialist,MP553193,HPCSA,Practising,KwaZulu-Natal,90,true,Low
0ff16459-ed4b-4963-81ed-f9ac800f48dd,"Thabo Botha",Nurse,REG48284,SANC,Good Standing,North West,97,true,Low
88a2f793-7b3b-4079-a313-b99870a91c8c,"Nomsa Khuma",Nurse,REG97187,SANC,Active,Eastern Cape,95,true,Low
5986186c-fdcb-4eb6-a915-ea66b6079aa3,"Tumi Khuma",Doctor,MP808788,HPCSA,Good Standing,North West,96,true,Low
1d74dfb0-1043-456d-8e1d-b6e3f20042a4,"Lerato Zuma",Doctor,MP328948,HPCSA,Practising,Eastern Cape,100,true,Low
7f203862-5343-4fbf-893f-b104f4679d5d,"Tumi Khuma",Specialist,MP886036,HPCSA,Struck Off,Eastern Cape,23,false,Critical
1957fe6a-786a-4e36-bcf7-7efd633a5384,"Nomsa Smith",Doctor,MP708453,HPCSA,Suspended,Mpumalanga,50,true,Medium
63cbcd96-7fb7-44a4-b22c-0c63921e9851,"Musa Dlamini",Advocate,LP750106,LPC,Suspended,Mpumalanga,45,true,Medium
e505dd1f-7f16-4a34-bbbd-29eb2857f22c,"Lindiwe Muller",Psychologist,MP239195,HPCSA,Practising,Western Cape,97,true,Low
9eea28f2-5ea8-4aa6-93f2-a12f849b8579,"Chris Ndlovu",Doctor,MP153384,HPCSA,Struck Off,KwaZulu-Natal,9,false,Critical
7aad747b-3fe1-4817-8afa-207e82c37c8e,"Tumi Botha",Specialist,MP925763,HPCSA,Practising,Mpumalanga,98,true,Low
86d13322-4e0b-4d56-bdc1-3d53988b9403,"Thabo Ndlovu",Advocate,LP894799,LPC,Suspended,KwaZulu-Natal,53,true,Medium
3cde4509-3c16-45db-925c-115fbf2e2b9f,"Tumi Dlamini",Nurse,REG30064,SANC,Good Standing,Northern Cape,95,true,Low
2fe4b4cf-7094-4810-bdb4-42acc62953be,"Kevin Dlamini",Specialist,MP410631,HPCSA,Struck Off,North West,2,false,Critical
1355821b-af07-4031-9039-c7ca3e15ed47,"Chris Khuma",Attorney,LP475897,LPC,Struck Off,KwaZulu-Natal,18,false,Critical
8d3c83c0-0603-428f-bae0-b24b5af72aa8,"Musa Molefe",Attorney,LP247301,LPC,Good Standing,Limpopo,97,true,Low
88386d8a-a92e-45c8-87e1-9263d70f2dc9,"Nomsa Smith",Doctor,MP135146,HPCSA,Good Standing,KwaZulu-Natal,90,true,Low
c2fa6337-c0da-4499-babd-cbad3f293228,"Kevin Molefe",Psychologist,MP824809,HPCSA,Good Standing,Northern Cape,93,true,Low
ae526901-9e81-403c-905c-93a140da0ad5,"Thabo Smit",Advocate,LP366824,LPC,Suspended,Mpumalanga,58,true,Medium
1da42bb4-ee6a-478f-8ebd-2b18f9849206,"Lerato Zuma",Nurse,REG16289,SANC,Active,Mpumalanga,90,true,Low
d54a0a36-447e-4fcd-a104-3a8998d9ba49,"Musa Smit",Advocate,LP745329,LPC,Active,Northern Cape,91,true,Low
77ba0df4-a031-4be3-b955-0abb2aee6f73,"Sarah Smit",Specialist,MP764657,HPCSA,Active,North West,96,true,Low
3c111b9f-3273-4e38-8cd8-938f0f36266f,"Musa Molefe",Attorney,LP514495,LPC,Struck Off,Gauteng,24,false,Critical
7e126a98-50a7-4b6f-8a46-02e981d7a5ac,"Lindiwe Grootboom",Doctor,MP245877,HPCSA,Good Standing,Mpumalanga,92,true,Low
e5c2fff2-599c-4842-9af1-0bb0835bf8ae,"Jane Botha",Advocate,LP209815,LPC,Good Standing,Western Cape,98,true,Low
58bea93d-f925-46e5-8d60-aecc2dbef54c,"Lindiwe Botha",Doctor,MP960397,HPCSA,Suspended,Mpumalanga,42,true,Medium
73e17e12-c601-400c-ab26-2cbbfa20edad,"Thabo Khuma",Doctor,MP687645,HPCSA,Good Standing,Free State,100,true,Low
528b15b1-05cc-4c76-ae86-24287d813f1e,"Tumi Botha",Psychologist,MP413352,HPCSA,Good Standing,North West,94,true,Low
6e8ba254-8ae7-494d-a1d1-618c7715ea17,"Lindiwe Khuma",Psychologist,MP175344,HPCSA,Good Standing,Limpopo,99,true,Low
24676895-1d08-4ee7-ab47-4056f489e2cf,"Thabo Ndlovu",Doctor,MP863478,HPCSA,Good Standing,Mpumalanga,92,true,Low
4e4904fa-5352-4679-9641-35477c960aae,"John Khuma",Nurse,REG39018,SANC,Active,Mpumalanga,98,true,Low
e4301478-443d-4004-84c6-371c36d18f69,"Lerato Muller",Attorney,LP413891,LPC,Active,Free State,94,true,Low
3ca03d9e-0c05-4c0b-8fd5-c4cc8768ab25,"Tumi Ndlovu",Doctor,MP826581,HPCSA,Active,North West,96,true,Low
8360fa2f-9468-4cd3-8372-0a85766639cf,"Tumi Molefe",Attorney,LP275146,LPC,Active,North West,95,true,Low
0bdf4951-f0f9-453c-ab40-f7d7d658b291,"Sipho Smit",Specialist,MP367442,HPCSA,Struck Off,Northern Cape,4,false,Critical
a4fa8399-ffb6-4e3e-a039-205380819041,"Chris Ndlovu",Psychologist,MP791736,HPCSA,Suspended,Mpumalanga,58,true,Medium
3f42a346-38c7-4962-896d-8f485e55ee94,"Lerato Grootboom",Nurse,REG43501,SANC,Struck Off,KwaZulu-Natal,28,false,Critical
8e6be016-cbf8-44b2-a777-91e2fb851681,"Chris Muller",Nurse,REG56108,SANC,Practising,Mpumalanga,94,true,Low
d1fd98c8-3024-4d2d-b332-3ca7c50ff4c8,"Thabo Ndlovu",Advocate,LP100372,LPC,Suspended,Eastern Cape,46,true,Medium
01747010-c400-4195-8eaf-a7c934e7532d,"Nomsa Botha",Attorney,LP268741,LPC,Suspended,Mpumalanga,45,true,Medium
f350f3cf-8bba-4cef-b940-d42e698f45c9,"Sipho Dlamini",Specialist,MP111049,HPCSA,Suspended,Eastern Cape,51,true,Medium
e894118b-a662-4330-8f77-c0f4cfda05d3,"Tumi Khuma",Specialist,MP584816,HPCSA,Practising,KwaZulu-Natal,94,true,Low
c0f73389-0845-41db-8710-849cc8055ec9,"Musa Botha",Doctor,MP678459,HPCSA,Suspended,Eastern Cape,44,true,Medium
01f47d6e-441c-4942-beba-c2e9bc0b796e,"Nomsa Grootboom",Doctor,MP625504,HPCSA,Practising,Free State,94,true,Low
127c2f6e-3fd7-4aa5-bbae-26a655a9fd05,"Kevin Smith",Nurse,REG85260,SANC,Struck Off,Eastern Cape,7,false,Critical
da5c6c14-3829-46eb-a845-9cd177a1c777,"Lindiwe Muller",Advocate,LP260139,LPC,Active,Limpopo,100,true,Low
ec72911e-a6cb-49d4-bde3-5df258da5472,"Kevin Smith",Psychologist,MP454650,HPCSA,Good Standing,Western Cape,97,true,Low
1ee7e515-c222-4a50-8acd-63fe715239c5,"Musa Zuma",Psychologist,MP903198,HPCSA,Struck Off,Eastern Cape,7,false,Critical
9598a69b-4b4e-4cb8-980a-0f2587702731,"John Muller",Nurse,REG92793,SANC,Struck Off,KwaZulu-Natal,17,false,Critical
fc2b5309-1938-4ea4-ac5f-cb067b49e779,"Sarah Molefe",Attorney,LP446818,LPC,Suspended,Mpumalanga,58,true,Medium
4bc46a51-2177-41a5-b6bf-34fbac4e0338,"Musa Khuma",Advocate,LP656659,LPC,Practising,Gauteng,99,true,Low
59e85dcc-904c-40b1-bcc7-a6e8402ae7dc,"Lerato Ndlovu",Specialist,MP264144,HPCSA,Good Standing,KwaZulu-Natal,95,true,Low
2990f83e-bac3-4320-8820-b8a696124c2f,"Jane Zuma",Doctor,MP357418,HPCSA,Suspended,Eastern Cape,49,true,Medium
a3ddb7ae-ce66-4ff7-8a37-893d94034e07,"John Grootboom",Nurse,REG34149,SANC,Struck Off,Mpumalanga,1,false,Critical
9e5e2c97-b5c6-4c17-bbcf-03d84dc05e87,"Tumi Grootboom",Attorney,LP803008,LPC,Practising,Gauteng,91,true,Low
01a5f92c-3578-40a5-8c2f-1ffca98afe9c,"Sarah Molefe",Specialist,MP927803,HPCSA,Suspended,Western Cape,43,true,Medium
